Condition\Participate ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Mean
49,422376.6996,108806.2079,15132.68503,19504.11136,155732.4803,105916.1691,68524.79435,57567.63528,38193.77124,259521.9336,67770.41653,16949.56107,98271.47754,221542.1724,118272.1511
50,384882.6384,251561.9469,215858.5451,15694.5852,355683.3726,158415.92,68883.65841,70584.58955,51954.91282,30496.95302,444329.6319,96310.81794,102336.0502,69899.25768,165492.3486
51,26671.65307,49524.11975,19580.32576,116741.0547,138584.0314,96197.85465,195253.5845,97062.29816,41285.86393,544203.591,428811.6791,10462.86852,24353.50843,51165.23791,131421.2622
52,63661.94246,44490.45826,48111.99392,20840.47691,102199.4591,93172.68429,25874.97442,29058.20008,64049.78963,185607.7165,50536.53317,1.611398964,57305.50293,193971.748,69920.22079
53,139310.7236,381326.1141,20098.54242,19954.52623,38338.45379,71491.66298,38251.04355,32171,30472.3399,72782.40589,10523.34754,9934.570915,15312.30001,164167.8173,74581.06059
54,34210.14965,100639.4826,8910.368796,20699.31171,146140.574,244639.6635,25152.39169,8101.363173,23830.33881,610170.6684,266797.4192,12751.76044,39652.06482,262213.9341,128850.6779
55,48656.05206,19699.45648,41246.4441,10466.04807,243710.4756,122279.0661,174740.9202,13343.92247,114888.5943,67947.71231,48292.06404,26558.67627,101256.0649,380343.0566,100959.1824
56,64483.90759,122209.4902,94288.36963,29563.00282,254328.6152,149428.063,73164.33571,20178.78015,15261.13463,329158.149,46499.89907,55910.96032,68323.40565,128471.3214,103662.1025
57,34411.41529,118910.737,21134.08907,19358.65094,80011.50971,179912.5782,179356.0079,24007.88568,40520.29281,24601.61036,23828.03788,28389.21151,50149.18015,122033.6501,67616.06119
58,96407.54295,23372.59757,86097.60013,11072.47929,68985.34299,214622.2058,138487.8164,26166.84008,147921.4361,498435.3841,58198.13721,23021.32136,55362.7052,281900.2446,123575.1181
